state,name,agency,type,notes
Alabama,Jim Jeter,Alabama Forestry Commission,state,
Alabama,Otis French,Alabama Forestry Commission,state,
Alabama,Jason Dockery,Alabama Forestry Commission,state,
Alabama,Ryan Prince,Alabama Forestry Commission,state,
Alabama,Pat O'Neil,Alabama Geological Survey,state,
Alabama,Stuart McGregor,Alabama Geological Survey,state,
Alabama,Anne Wynn,Alabama Geological Survey,state,
Alabama,Jason Carlee,Alabama Power Company,utility,
Alabama,Steve Krotzer,Alabama Power Company,utility,
Alabama,Eric Reutebuch,Alabama Water Watch Auburn University,school,
Alabama,Rebecca Bearden,Alabama Wildlife Federation,ngo-nongame,
Alabama,Craig Guyer,Auburn University,school,
Alabama,Jim Godwin,Auburn University,school,
Alabama,Michael Barbour,Auburn University,school,
Alabama,David Steen,Auburn University,school,
Alabama,Scot Duncan,Birmingham-Southern College,school,
Alabama,Frank Chitwood,Coosa Riverkeeper,ngo-nongame,
Alabama,Mary Wallace Pitts,"North River Watershed, University of Alabama",school,
Alabama,David Elliott,Poarch Creek Tribe,indigenous,
Alabama,Billy Smith,Poarch Creek Tribe,indigenous,
Alabama,James Agerton,Poarch Creek Tribe,indigenous,
Alabama,Evan Crews,Tennessee Valley Authority,federal,
Alabama,Raymond Moore,Tennessee Valley Authority,federal,
Alabama,Damien Simbeck,Tennessee Valley Authority,federal,
Alabama,Shannon O'Quinn,Tennessee Valley Authority,federal,
Alabama,Mary Kate Brown,The Nature Conservancy,ngo-nongame,
Alabama,Judy Haner,The Nature Conservancy,ngo-nongame,
Alabama,Paul Freeman,The Nature Conservancy,ngo-nongame,
Alabama,Keith Tassin,The Nature Conservancy,ngo-nongame,
Alabama,Brett Connell,Trutta Consulting,business,
Alabama,Chris Cochrane,University of Alabama (student),school,
Alabama,Allison Cochran,US Forest Service USFS,federal,
Alabama,Art Henderson,US Forest Service USFS,federal,
Alabama,Dagmar Thurmond,US Forest Service USFS,federal,
Alabama,John Moran,US Forest Service USFS,federal,
Alabama,Ryan Shurette,US Forest Service USFS,federal,
Alabama,Steve Lohr,US Forest Service USFS,federal,
Alabama,Travis McDonald,US Forest Service USFS,federal,
Alabama,Chuck Sumner,US Army Corps of Engineers,federal,
Alabama,Craig Littleton,US Army Corps of Engineers,federal,
Alabama,Bill Pearson,US Fish and Wildlife Service USFWS,federal,
Alabama,Andy Ford,US Fish and Wildlife Service USFWS,federal,
Alabama,Bill Lynn,US Fish and Wildlife Service USFWS,federal,
Alabama,Dianne Ingram,US Fish and Wildlife Service USFWS,federal,
Alabama,Drew Rollman,US Fish and Wildlife Service USFWS,federal,
Alabama,Eric Spadgenske,US Fish and Wildlife Service USFWS,federal,
Alabama,Jeff Gleason,US Fish and Wildlife Service USFWS,federal,
Alabama,Matt Laschet,US Fish and Wildlife Service USFWS,federal,
Alabama,Jeff Powell,US Fish and Wildlife Service USFWS,federal,
Alabama,Jennifer Pritchett,US Fish and Wildlife Service USFWS,federal,
Alabama,Karen Marlowe,US Fish and Wildlife Service USFWS,federal,
Alabama,Patric Harper,US Fish and Wildlife Service USFWS,federal,
Alabama,Dwight Cooley,US Fish and Wildlife Service USFWS,federal,
Alabama,Rob Hurt,US Fish and Wildlife Service USFWS,federal,
Alabama,Rob Holbrook,US Fish and Wildlife Service USFWS,federal,
Alabama,Rodney Night,US Geological Survey USGS,federal,
Alabama,M Keith Hudson,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Nicholas Sharp,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Allen Aven,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Troy Best,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Ruth Carmichael,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Allison Cochran,Nongame Conference Mammal Committee,committee-nongame,
Alabama,William Gates,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Travis Henry,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Jo Lewis,Nongame Conference Mammal Committee,committee-nongame,
Alabama,William Lynn,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Michael Sievering,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Amy Silvano,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Todd Steury,Nongame Conference Mammal Committee,committee-nongame,
Alabama,William Stone,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Michael Wooten,Nongame Conference Mammal Committee,committee-nongame,
Alabama,Eric Soehren,Nongame Conference Bird Committee,committee-nongame,
Alabama,Robert Carter,Nongame Conference Bird Committee,committee-nongame,
Alabama,C Dwight Cooley,Nongame Conference Bird Committee,committee-nongame,
Alabama,James Grand,Nongame Conference Bird Committee,committee-nongame,
Alabama,Thomas Haggerty,Nongame Conference Bird Committee,committee-nongame,
Alabama,Geoffrey Hill,Nongame Conference Bird Committee,committee-nongame,
Alabama,Howard Horne,Nongame Conference Bird Committee,committee-nongame,
Alabama,Greg Jackson,Nongame Conference Bird Committee,committee-nongame,
Alabama,Paul Kittle,Nongame Conference Bird Committee,committee-nongame,
Alabama,Christopher McClure,Nongame Conference Bird Committee,committee-nongame,
Alabama,Conor McGowan,Nongame Conference Bird Committee,committee-nongame,
Alabama,Ralph Mirarchi,Nongame Conference Bird Committee,committee-nongame,
Alabama,Catherine Rideout,Nongame Conference Bird Committee,committee-nongame,
Alabama,Scott Rush,Nongame Conference Bird Committee,committee-nongame,
Alabama,Eric Spadgenske,Nongame Conference Bird Committee,committee-nongame,
Alabama,Bill Summerour,Nongame Conference Bird Committee,committee-nongame,
Alabama,Carrie Threadgill,Nongame Conference Bird Committee,committee-nongame,
Alabama,John Trent,Nongame Conference Bird Committee,committee-nongame,
Alabama,James Tucker Junior,Nongame Conference Bird Committee,committee-nongame,
Alabama,Roger Clay,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Joseph Apodaca,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Mark Bailey,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,George Cline,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,James Godwin,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Sean Graham,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Craig Guyer,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Mark Hughes,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,John Jensen,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Ken Marion,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Bruce Means,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Robert Mount,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,David Nelson,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Nicholas Sharp,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Dan Speake,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,James Stiles,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Thane Wibbels,Nongame Conference Amphibian and Reptile Committee,committee-nongame,
Alabama,Steven Rider,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Andrew Henderson,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Carol Johnston,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Bernard Kuhajda,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Pat O'Neil,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Thomas Shepard,Nongame Conference Fishes Committee,committee-nongame,
Alabama,JR Shute,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Peggy Shute,Nongame Conference Fishes Committee,committee-nongame,
Alabama,Jeff Garner,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Arthur Bogan,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Mighael Gangloff,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Tori Tolley-Jordan,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Stuart McGregor,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,John Moran,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Sandra Pursifull,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Michael Stewart,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,James Stoeckel,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Nathan Whelan,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,James Williams,Nongame Conference Mussels and Snails Committee,committee-nongame,
Alabama,Andrew Henderson,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Alexander Huryn,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Jeffrey Simmons,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Guenter Schuster,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Christopher Taylor,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Stuart McGregor,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,James Stoeckel,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Brian Helms,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,J Brett Smith,Nongame Conference Crayfish Committee,committee-nongame,
Alabama,Carol Denhof,The Longleaf Alliance,ngo-nongame,
Alabama,Ad Platt,The Longleaf Alliance,ngo-nongame,
Alabama,Karen Terwilliger,Terwilliger Consulting,business,
Alabama,Mark Bailey,Conservation Southeast,business,
Alaska,Mark Kirchhoff,Alaska Department of Fish and Game,state,
Alaska,Tim Viavant,Alaska Department of Fish and Game,state,
Alaska,Chris Krenz,Alaska Department of Fish and Game,state,
Alaska,David Tessler,Alaska Department of Fish and Game,state,
Alaska,Travis Booms,Alaska Department of Fish and Game,state,
Alaska,Julie Hagelin,Alaska Department of Fish and Game,state,
Alaska,Karen Blejwas,Alaska Department of Fish and Game,state,
Alaska,kelly Nesvacil,Alaska Department of Fish and Game,state,
Alaska,Grey Pendleton,Alaska Department of Fish and Game,state,
Alaska,Michael Kohan,Alaska Department of Fish and Game,state,
Alaska,Chris Barger,Alaska Department of Fish and Game,state,
Alaska,Dan Rosenberg,Alaska Department of Fish and Game,state,
Alaska,Mike Petrula,Alaska Department of Fish and Game,state,
Alaska,Jason Schamber,Alaska Department of Fish and Game,state,
Alaska,Bob Small,Alaska Department of Fish and Game,state,
Alaska,Michael Rehberg,Alaska Department of Fish and Game,state,
Alaska,Lauri Jemison,Alaska Department of Fish and Game,state,
Alaska,Moira Ingle,Alaska Department of Fish and Game,state,
Alaska,Jim Fall,Alaska Department of Fish and Game,state,
Alaska,Sue Rodman,Alaska Department of Fish and Game,state,
Alaska,Kim Titus,Alaska Department of Fish and Game,state,
Alaska,Bruce Dale,Alaska Department of Fish and Game,state,
Alaska,Lisa Evans,Alaska Department of Fish and Game,state,
Alaska,Maria Gladziszewski,Alaska Department of Fish and Game,state,
Alaska,Forrest Bowers,Alaska Department of Fish and Game,state,
Alaska,Nicole Kimbal,Alaska Department of Fish and Game,state,
Alaska,Patti Harper,Alaska Department of Fish and Game,state,
Alaska,Celia Rozen,Alaska Department of Fish and Game,state,
Alaska,Amy Carroll,Alaska Department of Fish and Game,state,
Alaska,Kathy Lepley,Galaxy Graphics,business,
Alaska,,Alaska Natural Heritage Program UAA,school,
Alaska,,Audubon Alaska,ngo-nongame,
Alaska,,Juneau Audubon,ngo-nongame,
Alaska,,US Fish and Wildlife Service USFWS,federal,
Alaska,,Pacific Coast Joint Venture,partnership,
Alaska,,US Geological Survey USGS,federal,
Alaska,,National Park Service,federal,
Alaska,,Alaska Fish Habitat Partnerships,partnership,
Alaska,,American Fisheries Society Alaska Chapter,ngo-consumptive,
Alaska,,University of Alaska Fairbanks,school,
Alaska,,Boreal Partners in Flight,partnership,
Alaska,,Alaska Raptor Group,partnership,
Alaska,,Alaska Shorebird Group,partnership,
Alaska,,Action Plan Coordinators from Idaho and Washington,state,
Alaska,,Association of Fish and Wildlife Agencies,ngo-consumptive,
Arizona,Joyce Francis,Arizona Game and Fish Department AZGFD,state,
Arizona,Charles Hofer,Arizona Game and Fish Department AZGFD,state,
Arizona,Matthew King,Arizona Game and Fish Department AZGFD,state,
Arizona,Tiffany Finke,Arizona Game and Fish Department AZGFD,state,
Arizona,Josh Avey,Arizona Game and Fish Department AZGFD,state,
Arizona,Michael Barbour,Arizona Game and Fish Department AZGFD,state,
Arizona,Zach Beard,Arizona Game and Fish Department AZGFD,state,
Arizona,Erin Butler,Arizona Game and Fish Department AZGFD,state,
Arizona,Chris Cantrell,Arizona Game and Fish Department AZGFD,state,
Arizona,Julie Carter,Arizona Game and Fish Department AZGFD,state,
Arizona,Barbara Cook,Arizona Game and Fish Department AZGFD,state,
Arizona,Jom Cooley,Arizona Game and Fish Department AZGFD,state,
Arizona,Troy Corman,Arizona Game and Fish Department AZGFD,state,
Arizona,Marianne Cox,Arizona Game and Fish Department AZGFD,state,
Arizona,Clay Crowder,Arizona Game and Fish Department AZGFD,state,
Arizona,Mark Dahlberg,Arizona Game and Fish Department AZGFD,state,
Arizona,Mike Demlong,Arizona Game and Fish Department AZGFD,state,
Arizona,Locana de Souza,Arizona Game and Fish Department AZGFD,state,
Arizona,Dave Dorum,Arizona Game and Fish Department AZGFD,state,
Arizona,James Driscoll,Arizona Game and Fish Department AZGFD,state,
Arizona,Russ Engel,Arizona Game and Fish Department AZGFD,state,
Arizona,Karen Franco,Arizona Game and Fish Department AZGFD,state,
Arizona,Kandis Glavin,Arizona Game and Fish Department AZGFD,state,
Arizona,Hannah Griscom,Arizona Game and Fish Department AZGFD,state,
Arizona,Larissa Harding,Arizona Game and Fish Department AZGFD,state,
Arizona,Jim Heffelfinger,Arizona Game and Fish Department AZGFD,state,
Arizona,John Hervert,Arizona Game and Fish Department AZGFD,state,
Arizona,Brian Hickerson,Arizona Game and Fish Department AZGFD,state,
Arizona,Holly Hicks,Arizona Game and Fish Department AZGFD,state,
Arizona,Kenneth Jacobson,Arizona Game and Fish Department AZGFD,state,
Arizona,Elizabeth Johnston,Arizona Game and Fish Department AZGFD,state,
Arizona,Cristina Jones,Arizona Game and Fish Department AZGFD,state,
Arizona,Thomas Jones,Arizona Game and Fish Department AZGFD,state,
Arizona,Edwin Juarez,Arizona Game and Fish Department AZGFD,state,
Arizona,Ann Justice-Allen,Arizona Game and Fish Department AZGFD,state,
Arizona,Jack Kauphusman,Arizona Game and Fish Department AZGFD,state,
Arizona,Bill Knowles,Arizona Game and Fish Department AZGFD,state,
Arizona,keith Knutsen,Arizona Game and Fish Department AZGFD,state,
Arizona,Chrissy Kondrat,Arizona Game and Fish Department AZGFD,state,
Arizona,Richard Langley,Arizona Game and Fish Department AZGFD,state,
Arizona,Sharon Lashway,Arizona Game and Fish Department AZGFD,state,
Arizona,Ian Latella,Arizona Game and Fish Department AZGFD,state,
Arizona,Richard Lawrence,Arizona Game and Fish Department AZGFD,state,
Arizona,kendra Loubere,Arizona Game and Fish Department AZGFD,state,
Arizona,Shawn Lowery,Arizona Game and Fish Department AZGFD,state,
Arizona,Susi MacVean,Arizona Game and Fish Department AZGFD,state,
Arizona,Tracy McCarthey,Arizona Game and Fish Department AZGFD,state,
Arizona,Kyle McCarty,Arizona Game and Fish Department AZGFD,state,
Arizona,Jarrod Mcfarlin,Arizona Game and Fish Department AZGFD,state,
Arizona,Angela McIntyre,Arizona Game and Fish Department AZGFD,state,
Arizona,Amber Munig,Arizona Game and Fish Department AZGFD,state,
Arizona,Ian Murray,Pima County,local,
Arizona,Johnathan O'Dell,Arizona Game and Fish Department AZGFD,state,
Arizona,Audrey Owens,Arizona Game and Fish Department AZGFD,state,
Arizona,Elaine Pittman,Arizona Game and Fish Department AZGFD,state,
Arizona,Damian Rawroot,The Nature Conservancy,ngo-nongame,
Arizona,Heidi Rayment,Arizona Game and Fish Department AZGFD,state,
Arizona,Anthony Robinson,Arizona Game and Fish Department AZGFD,state,
Arizona,Esther Rubin,Arizona Game and Fish Department AZGFD,state,
Arizona,Mason Ryan,Arizona Game and Fish Department AZGFD,state,
Arizona,Tim Snow,Arizona Game and Fish Department AZGFD,state,
Arizona,Jeff Sorensen,Arizona Game and Fish Department AZGFD,state,
Arizona,Scott Sprague,Arizona Game and Fish Department AZGFD,state,
Arizona,Tice Supplee,Audubon Southwest,ngo-nongame,
Arizona,Kristin Terpening,Arizona Game and Fish Department AZGFD,state,
Arizona,Luke Thompson,Arizona Game and Fish Department AZGFD,state,
Arizona,Sabra Tonn,Arizona Game and Fish Department AZGFD,state,
Arizona,Ginger Ritter,Arizona Game and Fish Department AZGFD,state,
Arizona,Bill Van Pelt,Arizona Game and Fish Department AZGFD,state,
Arizona,Raul Vega,Arizona Game and Fish Department AZGFD,state,
Arizona,Renee Wilcox,Arizona Game and Fish Department AZGFD,state,
Arizona,Dave Weedman,Arizona Game and Fish Department AZGFD,state,
Arizona,Tyler Williford,Arizona Game and Fish Department AZGFD,state,
Arizona,John Windes,Arizona Game and Fish Department AZGFD,state,
Arizona,Kelly Wolff,Arizona Game and Fish Department AZGFD,state,
Arizona,Kirk Young,Arizona Game and Fish Department AZGFD,state,
Arizona,Lisa DeBruyckere,Creative Resource Strategies,business,
Arizona,Tim Howard,Research Foundation for The State University of New York Environmental Science and Forestry SUNY,school,
Arizona,,Altar Valley Conservation Alliance,ngo-nongame,
Arizona,,Arizona State University,school,
Arizona,,ASARCO,business,
Arizona,,Audubon Arizona,ngo-nongame,
Arizona,,Be Outdoors Arizona,ngo-nongame,
Arizona,,Big Sandy NRCD,state,
Arizona,,Borderlands Restoration Network,ngo-nongame,
Arizona,,Bureau of Land Management,federal,
Arizona,,City of Flagstaff,local,
Arizona,,City of Peoria,local,
Arizona,,Federal Highway Administration,federal,
Arizona,,Fort Huachuca,federal,
Arizona,,Friends of Northern Arizona Forests,ngo-nongame,
Arizona,,Grand Canyon University,school,
Arizona,,Hopi Tribe,indigenous,
Arizona,,Maricopa County,local,
Arizona,,Matrix Design Group,business,
Arizona,,McDowell Sonoran Preserve,local,
Arizona,,National Park Service,federal,
Arizona,,Navajo Nation Department of Fish and Wildlife,indigenous,
Arizona,,Northern Arizona University,school,
Arizona,,Phoenix Zoo,ngo-nongame,
Arizona,,Pinal County,local,
Arizona,,Quail Forever Phesants Forever,ngo-consumptive,
Arizona,,Salt River Pima Maricopa Indian Community,indigenous,
Arizona,,Sierra Club Arizona,ngo-nongame,
Arizona,,Association of Environmental Professionals,ngo-nongame,
Arizona,,Tuscon Audubon Society,ngo-nongame,
Arizona,,University of Arizona,school,
Arizona,,US Army Yuma Proving Ground,federal,
Arizona,,US Bureau of Reclamation,federal,
Arizona,,US Fish and Wildlife Service USFWS,federal,
Arizona,,US Forest Service USFS,federal,
Arizona,,US Marine Corps Yuma Air Station,federal,
Arizona,,US Air Force Luke Air Force Base,federal,
Arizona,,US Department of Agriculture USDA Wildlife Services,federal,
Arizona,,Westland Resources,business,
Arizona,,White Mountain Apache Tribe,indigenous,
Arizona,,Willow Creek Environmental,business,
Arizona,,Yuma Crossing National Heritage Area,federal,
Arkansas,Allison Fowler,Arkansas Game and Fish Commission,state,
Arkansas,Jane Anderson,Arkansas Game and Fish Commission,state,
Arkansas,Ricky Chastain,Arkansas Game and Fish Commission,state,
Arkansas,Brad Carner,Arkansas Game and Fish Commission,state,
Arkansas,Chris Racey,Arkansas Game and Fish Commission,state,
Arkansas,Melvin Tobin,US Fish and Wildlife Service USFWS,federal,
Arkansas,Scott Simon,The Nature Conservancy,ngo-nongame,
Arkansas,Chris Colclasure,The Arkansas Natural Heritage Commission,state,
Arkansas,AJ Riggs,Arkansas Game and Fish Commission,state,
Arkansas,Eric Brinkman,Arkansas Game and Fish Commission,state,
Arkansas,Chris Davidson,US Fish and Wildlife Service USFWS,federal,
Arkansas,Dan Schiemna,Audubon Arkansas,ngo-nongame,
Arkansas,Doug Zollner,The Nature Conservancy,ngo-nongame,
Arkansas,Bill Holimon,The Arkansas Natural Heritage Commission,state,
Arkansas,Betty Crump,US Forest Service USFS,federal,
Arkansas,Blake Sasse,Arkansas Game and Fish Commission,state,
Arkansas,Raymond Benjamin,National Park Service,federal,
Arkansas,Jacob Bokker,Arkansas Game and Fish Commission,state,
Arkansas,Allen Cathey,Arkansas Game and Fish Commission,state,
Arkansas,Matthew Connior,Southern Arkansas University,school,
Arkansas,Jason Honey,Arkansas Game and Fish Commission,state,
Arkansas,Melissa Lombardi,US Fish and Wildlife Service USFWS,federal,
Arkansas,Tom Nupp,Arkansas Tech University,school,
Arkansas,Roger Perry,US Forest Service USFS,federal,
Arkansas,Tom Risch,Arkansas State University,school,
Arkansas,David Saugey,US Forest Service USFS,federal,
Arkansas,Renn Tumlinson,Henderson State University,school,
Arkansas,Don White,University of Arkansas-Monticello,school,
Arkansas,Karen Rowe,Arkansas Game and Fish Commission,state,
Arkansas,Leif Anderson,US Forest Service USFS,federal,
Arkansas,Dick Baxter,Arkansas Game and Fish Commission,state,
Arkansas,Than Boves,Arkansas State University,school,
Arkansas,Michael Budd,US Fish and Wildlife Service USFWS,federal,
Arkansas,Garrick Dugger,Arkansas Game and Fish Commission,state,
Arkansas,Steve Duzan,US Forest Service USFS,federal,
Arkansas,Steven Fowler,Arkansas Game and Fish Commission,state,
Arkansas,David Graves,Arkansas Game and Fish Commission,state,
Arkansas,Bubba Groves,Arkansas Game and Fish Commission,state,
Arkansas,Brad Hufhines,Beaver Water District,local,
Arkansas,Clifton Jackson,Arkansas Game and Fish Commission,state,
Arkansas,Chris kellner,Arkansas Tech University,school,
Arkansas,Erin Knoll,US Fish and Wildlife Service USFWS,federal,
Arkansas,David Krementz,US Geological Survey USGS,federal,
Arkansas,Matt Mourot,Arkansas Game and Fish Commission,state,
Arkansas,Allen Mueller,US Fish and Wildlife Service USFWS,federal,
Arkansas,Luke Naylor,Arkansas Game and Fish Commission,state,
Arkansas,Douglas Osborne,University of Arkansas-Monticello,school,
Arkansas,Seth Pearson,The Nature Conservancy,ngo-nongame,
Arkansas,Dan Scheiman,Audubon Arkansas,ngo-nongame,
Arkansas,Doyle Shook,Lower Mississippi Valley Joint Venture,partnership,
Arkansas,Kim Smith,University of Arkansas,school,
Arkansas,Jeff Quinn,Arkansas Game and Fish Commission,state,
Arkansas,Ginny Adams,University of Central Arkansas,school,
Arkansas,Reid Adams,University of Central Arkansas,school,
Arkansas,Lindsey Bruckerhoff,University of Arkansas,school,
Arkansas,Steve Filipek,Arkansas Game and Fish Commission,state,
Arkansas,Brook Fluker,Arkansas State University,school,
Arkansas,Charlie Gagen,Arkansas Tech University,school,
Arkansas,Cory Gallipeau,The Nature Conservancy,ngo-nongame,
Arkansas,Jessie Green,Arkansas Department of Environmental Quality,state,
Arkansas,Shawn Hodges,National Park Service,federal,
Arkansas,John Jackson,Arkansas Tech University,school,
Arkansas,Lindsey Lewis,US Fish and Wildlife Service USFWS,federal,
Arkansas,Dustin Lynch,University of Arkansas,school,
Arkansas,Dan Magoulick,University of Arkansas,school,
Arkansas,Mark Oliver,Arkansas Game and Fish Commission,state,
Arkansas,Cindy Osborne,Arkansas Natural Heritage Commission,state,
Arkansas,Todd Slack,US Army Corps of Engineers,federal,
Arkansas,Tim Snell,The Nature Conservancy,ngo-nongame,
Arkansas,Rich Standage,US Forest Service USFS,federal,
Arkansas,Justin Stroman,Arkansas Game and Fish Commission,state,
Arkansas,Jason Throneberry,Arkansas Natural Heritage Commission,state,
Arkansas,Brian Wagner,Arkansas Game and Fish Commission,state,
Arkansas,Nathan Wentz,Arkansas Department of Environmental Quality,state,
Arkansas,Jim Wise,Arkansas Department of Environmental Quality,state,
Arkansas,Jonathan Young,Audubon Arkansas,ngo-nongame,
Arkansas,Bill Posey,Arkansas Game and Fish Commission,state,
Arkansas,John Harris,Arkansas State University,school,
Arkansas,Josh Seagraves,Arkansas Highway and Transportation Department,state,
Arkansas,Ben Thesing,Arkansas Highway and Transportation Department,state,
Arkansas,Daniel Magoulick,University of Arkansas,school,
Arkansas,Kelly Irwin,Arkansas Game and Fish Commission,state,
Arkansas,Ben Cash,University of Central Arkansas,school,
Arkansas,Matthew Gifford,University of Central Arkansas,school,
Arkansas,Glenn Manning,University of Arkansas-Monticello,school,
Arkansas,Don Shepard,University of Central Arkansas,school,
Arkansas,John Willson,University of Arkansas,school,
Arkansas,William Baltosser,University of Arkansas-Little Rock,school,
Arkansas,Van Brahana,University of Arkansas,school,
Arkansas,Charles Ely,Consultant,independent,
Arkansas,Scott Longing,University of Arkansas,school,
Arkansas,Craig Rudolph,US Forest Service USFS,federal,
Arkansas,Samantha Scheiman,Arkansas Natural Heritage Commission,state,
Arkansas,Stephen Yanoviak,University of Arkansas-Little Rock,school,
Arkansas,Joy DeClerk,The Nature Conservancy,ngo-nongame,
Arkansas,Sally Entrekin,University of Central Arkansas,school,
Arkansas,Michelle Evans-White,University of Arkansas,school,
Arkansas,Brian Haggard,University of Arkansas,school,
Arkansas,Ethan Inlander,The Nature Conservancy,ngo-nongame,
